FID IID thr_wing
8414933 8414933 NA
8414933 8414933 NA
8414933 8414933 78.64
8414933 8414933 NA
8414933 8414933 77.64
8414933 8414933 79
8414933 8414933 79.64
8414933 8414933 76
8414933 8414933 79.64
8414933 8414933 79
8414934 8414934 80
8414935 8414935 79.5
8414935 8414935 NA
8414935 8414935 NA
8414935 8414935 76
8414935 8414935 79.61
8414936 8414936 80.5
8414936 8414936 NA
8414936 8414936 83.64
8414936 8414936 83.64
8414936 8414936 84
8414937 8414937 81
8414937 8414937 NA
8414937 8414937 NA
8414937 8414937 NA
8414937 8414937 81
8414938 8414938 79
8414938 8414938 NA
8414939 8414939 77.5
8414940 8414940 81
8414941 8414941 77
8414942 8414942 77
8414942 8414942 NA
8414942 8414942 NA
8414943 8414943 81
8414943 8414943 79
8414943 8414943 83.64
8414943 8414943 82
8414943 8414943 82.41
8414943 8414943 83
8414943 8414943 78.61
8414944 8414944 81
8414944 8414944 NA
8414945 8414945 82.5
8414945 8414945 NA
8414945 8414945 82.64
8414946 8414946 80.5
8414946 8414946 NA
8414947 8414947 78
8414947 8414947 NA
8414948 8414948 82
8414948 8414948 NA
8414948 8414948 NA
8414948 8414948 NA
8414948 8414948 82.64
8414948 8414948 82.64
8414948 8414948 85
8414948 8414948 83.64
8414948 8414948 83.64
8414949 8414949 79
8414949 8414949 NA
8414949 8414949 NA
8414949 8414949 NA
8414950 8414950 80
8414950 8414950 80.64
8414950 8414950 NA
8414950 8414950 79
8414950 8414950 75.61
8537602 8537602 NA
8537602 8537602 82
8537602 8537602 83.64
8537602 8537602 81.64
8537602 8537602 82.64
8537602 8537602 82
8537602 8537602 84.41
8537602 8537602 84
8537602 8537602 NA
8537602 8537602 84
8537605 8537605 NA
8537605 8537605 81
8537605 8537605 82
8537605 8537605 83
8537605 8537605 83.64
8537609 8537609 77
8537609 8537609 77
8537609 8537609 77
8537609 8537609 77
8537609 8537609 77
8537612 8537612 78
8537612 8537612 79
8537612 8537612 80.64
8537612 8537612 79
8537612 8537612 79.41
8537612 8537612 80
8537612 8537612 77.61
8537612 8537612 80
8537612 8537612 79.09
8537612 8537612 81.83
8537612 8537612 80
8537615 8537615 79
8537615 8537615 79.64
8537617 8537617 82
8537617 8537617 82
8537617 8537617 81.41
8537617 8537617 82.61
8537619 8537619 83.64
8537619 8537619 81.64
8537619 8537619 81.64
8537619 8537619 83
8537619 8537619 83
8537619 8537619 82.61
8537623 8537623 NA
8537623 8537623 81.64
8537623 8537623 80.64
8537623 8537623 82
8537636 8537636 NA
8537636 8537636 81
8537636 8537636 80.64
8537636 8537636 83
8537636 8537636 80.61
8537636 8537636 82
8537636 8537636 78.7
8537650 8537650 80.41
8537650 8537650 80
8537652 8537652 81
8537652 8537652 77
8537652 8537652 80
8537652 8537652 82
8537655 8537655 79
8537660 8537660 79
8537660 8537660 77.61
8537660 8537660 80.41
8537660 8537660 80.41
8537666 8537666 77
8537666 8537666 77
8537666 8537666 79
8537666 8537666 78
8537667 8537667 81
8537667 8537667 81
8537667 8537667 82.7
8537667 8537667 80.61
8537667 8537667 80
8537671 8537671 81
8537671 8537671 NA
8537671 8537671 NA
8537677 8537677 79
8537677 8537677 77
8537677 8537677 78
8537677 8537677 79
8537684 8537684 79.64
8537684 8537684 78.41
8537685 8537685 NA
8537685 8537685 75
8537685 8537685 75.64
8537685 8537685 77.61
8537685 8537685 76.41
8537685 8537685 77
8537685 8537685 NA
8537685 8537685 76.61
8537687 8537687 79
8537687 8537687 80
8537687 8537687 81.64
8537687 8537687 80
8537690 8537690 81
8537693 8537693 80.41
8537693 8537693 82
8537696 8537696 79
8537699 8537699 82
8537699 8537699 80
8537699 8537699 79.61
8537699 8537699 81.61
8537699 8537699 82
8537699 8537699 80.64
8537699 8537699 82.09
8537700 8537700 NA
8537700 8537700 76
8537700 8537700 79.61
8537700 8537700 81
8537700 8537700 NA
8537700 8537700 82
8537700 8537700 82.61
8537700 8537700 82
8537700 8537700 NA
8537700 8537700 81.09
8537700 8537700 81.86
8537700 8537700 83
8537700 8537700 83
8537700 8537700 82.83
8537700 8537700 83
8537700 8537700 82.86
8537701 8537701 80
8537702 8537702 82
8537702 8537702 81
8537705 8537705 80.64
8537705 8537705 79.61
8537705 8537705 81
8537710 8537710 81.64
8537715 8537715 79
8537715 8537715 81.64
8537728 8537728 77
8537728 8537728 76
8537728 8537728 79
8537728 8537728 78.61
8537728 8537728 NA
8537728 8537728 NA
8537728 8537728 77.61
8537728 8537728 78
8537728 8537728 77.41
8537728 8537728 79
8537729 8537729 78
8537729 8537729 76
8537729 8537729 78
8537730 8537730 79.64
